;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; faction description
;;  logo_index          gets resolved from STRATEGY_SPRITE_PAGE
;;  small_logo_index    gets resolved from SHARED_SPRITE_PAGE
;;  -- names in indeces do not match due to ... (put your own)
faction						slave
culture						placeholderC
religion					heretic
special_faction_type				slave_faction
symbol						models_strat/symbol_rebels.CAS
rebel_symbol				models_strat/symbol_rebels.CAS
primary_colour				red 110, green 110, blue 110
secondary_colour			red 239, green 239, blue 239
loading_logo				loading_screen/symbols/symbol128_slaves.tga
standard_index				2
logo_index					FACTION_LOGO_REBELS
small_logo_index			SMALL_FACTION_LOGO_REBELS
triumph_value				5
custom_battle_availability	no
can_sap						yes
prefers_naval_invasions		no
can_have_princess				no
has_family_tree					no

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IMPERIAL
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
faction						empire
culture						imperial
religion					nine_divines
symbol						models_strat/symbol_rebels.CAS
rebel_symbol				models_strat/symbol_rebels.CAS
primary_colour				red 215, green 0, blue 0
secondary_colour			red 255, green 210, blue 0
loading_logo				loading_screen/symbols/symbol128_slaves.tga
standard_index				1
logo_index					FACTION_LOGO_REBELS
small_logo_index			SMALL_FACTION_LOGO_REBELS
triumph_value				5
custom_battle_availability	yes
can_sap						no
prefers_naval_invasions		yes
can_have_princess			yes
has_family_tree					yes

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

