type,identifier,parameters,reusable
art,UIP_EMPTY_ART,default,TRUE
art,UIP_STATIC_TEXT,default,TRUE
push_btn,UIP_EMPTY_PUSH_BUTTON,default,TRUE
toggle_btn,UIP_EMPTY_TOGGLE_BUTTON,default,TRUE
toggle_btn,UIP_EMPTY_RADIO_BUTTON,default,TRUE
art,UIP_EMPTY_TEXTBOX,variable_text,TRUE
slider,UIP_EMPTY_SLIDER,default,TRUE
scroll_box,UIP_EMPTY_LIST,default,TRUE
scroll_box,UIP_EMPTY_RECEIVER,default,TRUE
scroll_box,UIP_EMPTY_EMITTER,default,TRUE
push_btn,UIP_MENU_BUTTON,menu_button,TRUE
push_btn,UIP_QUIT_DIALOG,default,TRUE
push_btn,UIP_DIALOG_BUTTON,menu_button,TRUE
push_btn,UIP_BACK_BUTTON,default,TRUE
push_btn,UIP_QUIT_BUTTON,default,TRUE
push_btn,UIP_CONFIRM_BUTTON,default,TRUE
art,UIP_STATIC_TOOLTIP,variable_text,TRUE
art,UIP_FLOATING_TOOLTIP,variable_text,TRUE
push_btn,UIP_STRAT_BUTTON,default,TRUE
push_btn,UIP_BATTLE_BUTTON,default,TRUE
push_btn,UIP_OVERVIEW_BUTTON,default,TRUE
push_btn,UIP_MODELVIEW_BUTTON,default,TRUE
push_btn,UIP_BATTLE_EDITOR_BUTTON,default,TRUE
art,UIP_FILENAME_TEXTBOX,variable_text,TRUE
art,UIP_BATTLE_FILENAME_TEXTBOX,variable_text,TRUE
art,UIP_JULII_ICON,default,TRUE
art,UIP_BRUTII_ICON,default,TRUE
art,UIP_SCIPII_ICON,default,TRUE
art,UIP_SENATE_ICON,default,TRUE
art,UIP_MACEDON_ICON,default,TRUE
art,UIP_EGYPT_ICON,default,TRUE
art,UIP_SELEUCID_ICON,default,TRUE
art,UIP_CARTHAGE_ICON,default,TRUE
art,UIP_PARTHIA_ICON,default,TRUE
art,UIP_PONTUS_ICON,default,TRUE
art,UIP_GAULS_ICON,default,TRUE
art,UIP_GERMANS_ICON,default,TRUE
art,UIP_BRITONS_ICON,default,TRUE
art,UIP_ARMENIA_ICON,default,TRUE
art,UIP_DACIA_ICON,default,TRUE
art,UIP_ILLYRIA_ICON,default,TRUE
art,UIP_NUMIDIA_ICON,default,TRUE
art,UIP_SCYTHIA_ICON,default,TRUE
art,UIP_SPAIN_ICON,default,TRUE
art,UIP_THRACE_ICON,default,TRUE
art,UIP_SLAVES_ICON,default,TRUE
push_btn,UIP_DIFFICULTY_EASY,menu_button,TRUE
push_btn,UIP_DIFFICULTY_MEDIUM,menu_button,TRUE
push_btn,UIP_DIFFICULTY_HARD,menu_button,TRUE
push_btn,UIP_DIFFICULTY_EXPERT,menu_button,TRUE
toggle_btn,UIP_AA_OFF,default,TRUE
toggle_btn,UIP_AA_LOW,default,TRUE
toggle_btn,UIP_AA_MEDIUM,default,TRUE
toggle_btn,UIP_AA_HIGH,default,TRUE
slider,UIP_MAPRES_SLIDER,default,TRUE
art,UIP_MAPRES_INDICATOR,variable_text,TRUE
toggle_btn,UIP_TRUECOLOUR,default,TRUE
toggle_btn,UIP_WIDESCREEN,default,TRUE
push_btn,UIP_CHANGE_RES,default,TRUE
slider,UIP_MASTERVOL_SLIDER,default,TRUE
art,UIP_MASTERVOL_INDICATOR,variable_text,TRUE
slider,UIP_MUSICVOL_SLIDER,default,TRUE
slider,UIP_SPEECHVOL_SLIDER,default,TRUE
slider,UIP_SFXVOL_SLIDER,default,TRUE
push_btn,UIP_LOAD_SORT_BY_NAME,default,TRUE
push_btn,UIP_LOAD_SORT_BY_DATE,default,TRUE
push_btn,UIP_LOAD_DELETE_FILE,default,TRUE
push_btn,UIP_LOAD_LOAD_FILE,default,TRUE
push_btn,UIP_START_IMPERIAL_CAMPAIGN,default,TRUE
art,UIP_IMPERIAL_CAMPAIGN_DESCRIPTION,default,TRUE
art,UIP_FILE_LIST,default,TRUE
art,UIP_GS_PLAYER_NAME_TEXTBOX,variable_text,TRUE
art,UIP_GS_PLAYER_EMAIL_TEXTBOX,variable_text,TRUE
art,UIP_GS_PLAYER_PASSWORD_TEXTBOX,variable_text,TRUE
push_btn,UIP_MULTIPLAYER_ONLINE,default,TRUE
toggle_btn,UIP_ARCADE_BATTLES,default,TRUE
art,UIP_CUSTOM_NAME,default,TRUE
art,UIP_SELECT_FACTION_AVAILABLE_UNITS,default
